,Date,Open,Close,High,Low,Volume
237,2019-08-22,213.19,212.46,214.44,210.75,22267819
238,2019-08-23,209.43,202.64,212.05,201.0,46882843
239,2019-08-26,205.86,206.49,207.19,205.06,26066130
240,2019-08-27,207.86,204.16,208.55,203.53,25897344
241,2019-08-28,204.1,205.53,205.72,203.32,15957632
242,2019-08-29,208.5,209.01,209.32,206.66,21007652
243,2019-08-30,210.16,208.74,210.45,207.2,21162561
244,2019-09-03,206.43,205.7,206.98,204.22,20059574
245,2019-09-04,208.39,209.19,209.48,207.32,19216820
246,2019-09-05,212.0,213.28,213.97,211.51,23946984
247,2019-09-06,214.05,213.26,214.42,212.51,19362294
248,2019-09-09,214.84,214.17,216.44,211.07,27309401
249,2019-09-10,213.86,216.7,216.78,211.71,31777931
250,2019-09-11,218.07,223.59,223.71,217.73,44289646
251,2019-09-12,224.8,223.09,226.42,222.86,32226669
252,2019-09-13,220.0,218.75,220.79,217.02,39763296
253,2019-09-16,217.73,219.9,220.13,217.56,21158141
254,2019-09-17,219.96,220.7,220.82,219.12,18386468
255,2019-09-18,221.06,222.77,222.85,219.44,25643093
256,2019-09-19,222.01,220.96,223.76,220.37,22187876
257,2019-09-20,221.38,217.73,222.56,217.47,57977094
258,2019-09-23,218.95,218.72,219.84,217.65,19419648
259,2019-09-24,221.03,217.68,222.49,217.19,31434367
260,2019-09-25,218.55,221.03,221.5,217.14,22481006
261,2019-09-26,220.0,219.89,220.94,218.83,19088312
262,2019-09-27,220.54,218.82,220.96,217.28,25361285
263,2019-09-30,220.9,223.97,224.58,220.79,26318583
264,2019-10-01,225.07,224.59,228.22,224.2,36187163
265,2019-10-02,223.06,218.96,223.58,217.93,35767257
266,2019-10-03,218.43,220.82,220.96,215.13,30352686
267,2019-10-04,225.64,227.01,227.49,223.89,34755553
268,2019-10-07,226.27,227.06,229.93,225.84,30889269
269,2019-10-08,225.82,224.4,228.06,224.33,29282700
270,2019-10-09,227.03,227.03,227.79,225.64,19029424
271,2019-10-10,227.93,230.09,230.44,227.3,28962984
272,2019-10-11,232.95,236.21,237.64,232.31,41990210
